x,y,width_px
331,196,2.0
331,197,2.0
331,198,3.1622776601683795
331,199,5.0990195135927845
290,200,4.47213595499958
291,200,4.47213595499958
292,200,4.47213595499958
293,200,5.0
294,200,5.385164807134504
295,200,5.0
330,200,9.433981132056603
289,201,4.47213595499958
328,201,3.605551275463989
329,201,5.830951894845301
331,201,5.0
288,202,5.385164807134504
327,202,4.242640687119285
332,202,3.605551275463989
276,203,7.0
282,203,4.47213595499958
283,203,4.0
284,203,4.0
285,203,4.0
286,203,5.385164807134504
287,203,5.385164807134504
326,203,4.47213595499958
333,203,4.47213595499958
275,204,6.708203932499369
280,204,3.605551275463989
281,204,4.0
324,204,4.47213595499958
325,204,4.47213595499958
333,204,4.47213595499958
275,205,6.324555320336759
279,205,4.123105625617661
323,205,5.385164807134504
333,205,4.47213595499958
244,206,2.0
274,206,4.47213595499958
275,206,6.708203932499369
276,206,6.082762530298219
277,206,4.0
278,206,4.0
314,206,5.0990195135927845
315,206,5.0990195135927845
316,206,5.0
317,206,5.0
318,206,5.0
319,206,5.0
320,206,6.0
321,206,5.385164807134504
322,206,4.47213595499958
334,206,5.656854249492381
335,206,7.0710678118654755
244,207,3.605551275463989
260,207,4.47213595499958
261,207,4.47213595499958
262,207,4.0
263,207,6.0
264,207,6.0
265,207,6.0
266,207,5.0
267,207,5.0
268,207,5.0
269,207,5.0
270,207,5.0
271,207,5.0
272,207,4.47213595499958
273,207,4.47213595499958
310,207,5.385164807134504
311,207,4.47213595499958
312,207,4.47213595499958
313,207,5.0990195135927845
336,207,5.656854249492381
244,208,3.0
259,208,3.1622776601683795
309,208,4.47213595499958
337,208,4.47213595499958
244,209,4.0
258,209,2.8284271247461903
304,209,5.0990195135927845
305,209,5.0990195135927845
306,209,5.0990195135927845
307,209,5.385164807134504
308,209,5.385164807134504
337,209,5.0
244,210,6.0
256,210,3.605551275463989
257,210,4.47213595499958
291,210,2.8284271247461903
292,210,4.47213595499958
293,210,3.605551275463989
300,210,5.385164807134504
301,210,4.47213595499958
302,210,4.47213595499958
303,210,5.0990195135927845
338,210,6.4031242374328485
244,211,6.0
254,211,4.47213595499958
255,211,4.47213595499958
294,211,2.8284271247461903
299,211,4.47213595499958
